The intermediate results:
Round 1: 64460,0,0,3
Round 2: 128898,0,0,28
Round 3: 193343,0,0,45
Round 4: 257791,12,26,33
Round 5: 322235,19,40,37

The clustering results:
0,8
1,1
2,0
3,7
4,2
5,2
6,4
7,3
8,2
9,2
10,8
11,2
12,8
13,3
14,7
15,0
16,8
17,2
18,6
19,7
20,1
21,1
22,7
23,2
24,8
25,4
26,1
27,3
28,1
29,6
30,0
31,6
32,3
33,3
34,1
35,7
36,6
37,1
38,2
39,0
40,0
41,0
42,4
43,1
44,0
45,2
46,7
47,2
48,4
49,4
50,3
51,6
52,7
53,8
54,3
55,5
56,6
57,2
58,3
59,2
60,3
61,7
62,6
63,7
64,0
65,5
66,7
67,1
68,1
69,2
70,1
71,5
72,1
73,3
74,5
75,2
76,2
77,2
78,3
79,3
80,1
81,3
82,1
83,0
84,7
85,3
86,6
87,7
88,1
89,5
90,2
91,8
92,1
93,4
94,1
95,1
96,6
97,1
98,0
99,0
100,2
101,6
102,7
103,3
104,3
105,7
106,7
107,2
108,1
109,3
110,1
111,0
112,1
113,4
114,3
115,3
116,6
117,1
118,7
119,8
120,5
121,2
122,1
123,6
124,4
125,1
126,6
127,1
128,2
129,7
130,0
131,3
132,2
133,7
134,2
135,4
136,3
137,3
138,3
139,4
140,0
141,7
142,0
143,4
144,1
145,6
146,1
147,8
148,3
149,7
150,1
151,2
152,3
153,3
154,3
155,3
156,0
157,1
158,0
159,3
160,1
161,5
162,5
163,5
164,3
165,1
166,6
167,1
168,2
169,2
170,6
171,4
172,0
173,2
174,6
175,4
176,1
177,6
178,8
179,1
180,8
181,4
182,1
183,4
184,0
185,5
186,3
187,1
188,4
189,7
190,0
191,8
192,3
193,1
194,0
195,0
196,1
197,4
198,2
199,8
200,6
201,6
202,6
203,6
204,5
205,2
206,8
207,4
208,2
209,7
210,5
211,4
212,1
213,8
214,8
215,1
216,8
217,2
218,3
219,0
220,6
221,6
222,8
223,8
224,6
225,6
226,1
227,1
228,4
229,6
230,8
231,1
232,8
233,3
234,2
235,2
236,3
237,7
238,7
239,1
240,3
241,1
242,8
243,7
244,2
245,1
246,7
247,7
248,2
249,2
250,1
251,2
252,1
253,3
254,0
255,1
256,6
257,2
258,1
259,0
260,3
261,5
262,7
263,3
264,4
265,5
266,6
267,7
268,2
269,2
270,4
271,2
272,1
273,5
274,4
275,1
276,2
277,3
278,0
279,1
280,0
281,0
282,4
283,7
284,1
285,1
286,3
287,2
288,6
289,2
290,4
291,1
292,7
293,5
294,6
295,4
296,7
297,6
298,7
299,1
300,7
301,5
302,0
303,0
304,5
305,1
306,0
307,1
308,4
309,4
310,7
311,3
312,1
313,2
314,2
315,1
316,0
317,7
318,6
319,1
320,0
321,8
322,5
323,6
324,6
325,4
326,1
327,5
328,3
329,1
330,1
331,7
332,0
333,3
334,4
335,0
336,7
337,1
338,6
339,4
340,6
341,5
342,6
343,5
344,5
345,1
346,2
347,7
348,7
349,4
350,7
351,3
352,7
353,4
354,6
355,5
356,1
357,7
358,5
359,5
360,2
361,4
362,0
363,2
364,4
365,2
366,4
367,1
368,3
369,2
370,5
371,7
372,6
373,3
374,2
375,1
376,1
377,5
378,8
379,2
380,1
381,7
382,4
383,1
384,0
385,1
386,5
387,6
388,3
389,2
390,3
391,2
392,0
393,4
394,6
395,3
396,6
397,0
398,4
399,4
400,3
401,2
402,0
403,4
404,7
405,5
406,2
407,1
408,1
409,3
410,6
411,0
412,2
413,2
414,1
415,6
416,3
417,5
418,6
419,5
420,3
421,1
422,2
423,8
424,1
425,2
426,2
427,8
428,8
429,4
430,0
431,8
432,7
433,0
434,7
435,0
436,8
437,0
438,7
439,5
440,1
441,6
442,2
443,6
444,8
445,4
446,5
447,1
448,8
449,7
450,6
451,1
452,1
453,3
454,0
455,1
456,7
457,7
458,1
459,1
460,1
461,4
462,0
463,8
464,3
465,0
466,8
467,4
468,5
469,4
470,1
471,7
472,8
473,2
474,7
475,4
476,2
477,0
478,0
479,3
480,3
481,3
482,1
483,7
484,7
485,0
486,3
487,1
488,7
489,1
490,1
491,0
492,3
493,1
494,2
495,4
496,7
497,1
498,0
499,8
500,6
501,3
502,4
503,3
504,6
505,8
506,5
507,1
508,1
509,2
510,6
511,7
512,0
513,3
514,7
515,2
516,1
517,5
518,1
519,5
520,6
521,3
522,4
523,8
524,2
525,2
526,5
527,3
528,4
529,7
530,1
531,2
532,5
533,2
534,0
535,5
536,4
537,3
538,7
539,0
540,1
541,1
542,6
543,2
544,7
545,3
546,3
547,0
548,1
549,1
550,2
551,2
552,7
553,3
554,2
555,1
556,8
557,2
558,1
559,1
560,2
561,0
562,2
563,0
564,1
565,1
566,4
567,8
568,2
569,0
570,4
571,7
572,3
573,1
574,7
575,4
576,2
577,2
578,6
579,1
580,2
581,2
582,1
583,8
584,3
585,5
586,4
587,5
588,0
589,6
590,7
591,1
592,1
593,0
594,4
595,1
596,4
597,0
598,7
599,1
600,1
601,1
602,4
603,5
604,1
605,3
606,7
607,2
608,7
609,3
610,8
611,6
